0,17
1,3
2,1
3,-2
4,-10
5,7
6,-8
7,2
8,-18
9,4
10,8
11,-8
12,10
13,3
14,18
15,-6
16,-9
17,15
18,-4
19,-17
20,3
21,7
22,-15
23,-12
24,11
25,-16
26,-10
27,8
28,16
29,-20
30,-19
31,-14
32,-6
33,-4
34,16
35,10
36,-20
37,8
38,3
39,-4
40,19
41,-15
42,-1
43,7
44,9
45,2
46,-1
47,3
48,13
49,14
50,6
51,3
52,10
53,18
54,9
55,-7
56,2
57,-1
58,1
59,17
60,-2
61,18
62,-20
63,4
64,14
65,-18
66,7
67,-4
68,0
69,11
70,-12
71,12
72,-20
73,-7
74,-2
75,-16
76,3
77,-3
78,12
79,-7
80,-4
81,-1
82,-4
83,-3
84,-9
85,-19
86,-6
87,5
88,7
89,-4
90,9
91,12
92,0
93,-13
94,18
95,-1
96,-5
97,-8
98,-19
99,12
100,5
101,-11
102,14
103,-8
104,-19
105,-15
106,-20
107,3
108,10
109,1
110,-9
111,-18
112,15
113,9
114,-7
115,11
116,-15
117,-12
118,-1
119,19
120,-11
121,0
122,2
123,-2
124,3
125,-9
126,-9
127,-14
128,18
129,16
130,13
131,13
132,-8
133,-3
134,-12
135,-7
136,-14
137,-15
138,-1
139,-13
140,-16
141,7
142,12
143,-20
144,-2
145,-7
146,-20
147,14
148,12
149,-13
150,-4
151,-2
152,-2
153,-4
154,-7
155,9
156,2
157,0
158,-18
159,-5
160,0
161,-1
162,-3
163,-16
164,10
165,3
166,4
167,-14
168,-13
169,-17
170,-9
171,15
172,8
173,-14
174,3
175,-14
176,-18
177,-15
178,-3
179,-3
180,-5
181,6
182,-11
183,-19
184,7
185,-10
186,-11
187,5
188,16
189,15
190,-7
191,-5
192,3
193,-5
194,7
195,-2
196,-7
197,-18
198,-6
199,-2
200,1
201,-12
202,10
203,-8
204,12
205,-17
206,17
207,7
208,-17
209,-10
210,-6
211,19
212,17
213,-10
214,7
215,-1
216,-15
217,-12
218,-12
219,-15
220,9
221,1
222,-5
223,-20
224,13
225,-6
226,-9
227,16
228,-6
229,12
230,4
231,-16
232,1
233,-18
234,2
235,-12
236,1
237,11
238,-5
239,-14
240,9
241,17
242,9
243,-10
244,17
245,-2
246,2
247,-7
248,10
249,16
250,11
251,18
252,3
253,-7
254,-5
255,-9
256,17
257,-19
258,2
259,19
260,0
261,-4
262,-6
263,-1
264,8
265,-17
266,-1
267,-5
268,-2
269,-16
270,-8
271,16
272,-5
273,14
274,-20
275,7
276,11
277,-1
278,18
279,-14
280,0
281,11
282,10
283,12
284,1
285,-13
286,-14
287,-16
288,18
289,10
290,18
291,16
292,-20
293,17
294,16
295,-14
296,-14
297,0
298,-13
299,-9
300,-14
301,-18
302,-19
303,-15
304,-3
305,5
306,5
307,-14
308,-20
309,9
310,19
311,1
312,5
313,-13
314,19
315,14
316,7
317,-8
318,18
319,-15
320,-18
321,-14
322,8
323,8
324,17
325,15
326,-20
327,2
328,11
329,15
330,-14
331,-12
332,11
333,12
334,6
335,-8
336,3
337,-20
338,18
339,18
340,-15
341,0
342,16
343,0
344,12
345,-9
346,7
347,12
348,-7
349,-20
350,-7
351,-20
352,1
353,5
354,-7
355,16
356,-6
357,-11
358,-8
359,4
360,-12
361,-12
362,-13
363,-5
364,13
365,12
366,-17
367,1
368,17
369,-20
370,-19
371,-20
372,15
373,-8
374,11
375,-20
376,-3
377,-8
378,-18
379,-9
380,1
381,-11
382,9
383,13
384,9
385,-1
386,0
387,-13
388,-15
389,8
390,-6
391,-11
392,-14
393,-1
394,-18
395,9
396,1
397,-6
398,14
399,18
400,-18
401,-3
402,13
403,19
404,-11
405,1
406,6
407,15
408,17
409,1
410,-18
411,1
